Package/Bezeichnung/Footprint/Description;    ;                                                                   ;                    ;Packaging Type                                ;Mount Type   ;Length;Width
EIA-3528-15                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-3528-21                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-6032-15                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-6032-20                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-6032-28                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7343-15                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7343-20                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7343-30                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7343-31                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7343-40                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7343-43                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7360-38                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7361-38                              ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
EIA-7361-438                             ;Enum;                                                                   ;Elektronic Component;Tantalum capacitors                           ;SMT          ;      ;
Cornell-Dubilier A                       ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic B, Chemi-Con D                 ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic C, Chemi-Con E                 ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic D, Chemi-Con F                 ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic E, Panasonic F, Chemi-Con H    ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic G, Chemi-Con J                 ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Chemi-Con K                              ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic H                              ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic J, Chemi-Con L                 ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
Panasonic K, Chemi-Con M                 ;Enum;                                                                   ;Elektronic Component;Aluminum capacitors                           ;             ;      ;
SOT-23-6                                 ;Enum;SOT-26, SC-74                                                      ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-353                                  ;Enum;SC-88A                                                             ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-363                                  ;Enum;SC-88, SC-70-6                                                     ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-563                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-665                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-666                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-886                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-891                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-953                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-963                                  ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-1115                                 ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
SOT-1202                                 ;Enum;                                                                   ;Elektronic Component;Transistor, diode, small-pin-count IC packages;             ;      ;
COB                                      ;Enum;                                                                   ;Elektronic Component;Non-packaged devices                          ;             ;      ;
COF                                      ;Enum;                                                                   ;Elektronic Component;Non-packaged devices                          ;             ;      ;
COG                                      ;Enum;                                                                   ;Elektronic Component;Non-packaged devices                          ;             ;      ;
COW                                      ;Enum;                                                                   ;Elektronic Component;Non-packaged devices                          ;             ;      ;
LCD                                      ;Enum;                                                                   ;Elektronic Component;Non-packaged devices                          ;             ;      ;
NRF_BL                                   ;Enum;                                                                   ;Elektronic Component;Others                                        ;             ;      ;
USB                                      ;Enum;                                                                   ;Elektronic Component;Others                                        ;													;      ;
